u,h,stress,n,hrp,hp,w,fn,ft,area,energy_ratio,E
0,20,100,0.1,30.01729125,11.656494,108.1750853,3.712894193,1.013107785,0.010509325,0.062079925,192
0,20,100,0.3,28.10745553,9.27119628,101.3803828,9.663781071,2.67932504,0.008562901,0.038255567,192
0,20,100,0.5,23.42469622,5.4558584,87.72159488,22.02595679,5.70726428,0.006615974,0.020431872,192
0,20,500,0.1,29.12336237,10.99322445,106.1265889,13.84999434,3.796299855,0.009507319,0.053835268,192
0,20,500,0.3,25.44590773,7.928989851,91.52452418,24.77191003,6.51366291,0.007899516,0.024110713,192
0,20,500,0.5,20.44310669,4.679203629,77.19591912,39.212338,9.570375888,0.006071665,0.019853263,192
0,20,900,0.1,27.90969656,10.33682035,104.237647,21.53460414,6.115607039,0.008740851,0.044361039,192
0,20,900,0.3,24.17306549,7.582578659,89.88034055,32.93323415,8.516915894,0.007173853,0.021853166,192
0,20,900,0.5,18.99863283,4.348184268,76.26733556,46.36161334,11.20292263,0.005627969,0.021479575,192
0,20,1700,0.1,25.93915154,9.283074416,94.71840068,31.58310916,8.313332812,0.008277732,0.035364243,192
0,20,1700,0.3,21.44980133,6.098789573,79.49592099,44.00276019,11.39943886,0.006285764,0.022341899,192
0,20,1700,0.5,16.66245308,3.434880636,68.20319383,53.4829174,12.28860769,0.005481439,0.022405851,192
