MTS793|BTW|ENU|1|2|.|/|:|1|0|1|A

Data Header:						Time:	326.52734	s	9/20/2023 17:26:53
Data Acquisition:	Timed
Station Name:	319.25 w ext_strain.cfg
Test File Name:	Untitled test
Axial Displacement	Axial Force	Axial Strain	Time
mm	kN	%	s
0.00051259995	-0.0042616157	-0.00035216214	0.060546875
0.0047415495	0.29810157	0.00095877587	0.11035156
0.0063240528	0.56239706	0.0026436453	0.16015625
0.008302927	0.8194654	0.0044629844	0.20996094
0.011387467	1.0677413	0.0060291854	0.25976563
0.014680624	1.3549533	0.0080183633	0.30957031
0.017264485	1.6672392	0.0097747361	0.359375
0.019320846	1.9345332	0.011150474	0.40917969
0.022408366	2.217998	0.012771397	0.45898438
0.023469329	2.3965266	0.013970843	0.50878906
0.026392937	2.727735	0.016013224	0.55859375
0.029075146	2.9851944	0.017328285	0.60839844
0.031363964	3.2169313	0.019018987	0.65820313
0.03451407	3.4906824	0.020939089	0.70800781
0.036469102	3.7792072	0.022770334	0.7578125
0.039160252	3.9618101	0.023832222	0.80761719
0.03990531	4.1821399	0.025572978	0.85742188
0.043305755	4.4611726	0.026092343	0.90722656
0.045156479	4.6643786	0.027939847	0.95703125
0.047516823	4.8625631	0.029254964	1.0068359
0.050935149	5.1007156	0.030875005	1.0566406
0.052791834	5.3675623	0.032916896	1.1064453
0.055244565	5.6404138	0.03460364	1.15625
0.057584047	5.9349189	0.03626886	1.2060547
0.060546398	6.2200089	0.038018912	1.2558594
0.06351769	6.4929066	0.039707571	1.3056641
0.065931678	6.747139	0.040831853	1.3554688
0.066867471	6.9882488	0.042157326	1.4052734
0.07160008	7.3490324	0.044487733	1.4550781
0.074794888	7.6448407	0.046316203	1.5048828
0.077208877	7.8733735	0.047475848	1.5546875
0.08045435	8.126585	0.049524959	1.6044922
0.082778931	8.3711605	0.050850492	1.6542969
0.08354485	8.5292654	0.051828071	1.7041016
0.086849928	8.8218126	0.053894076	1.7539063
0.090843439	9.0794497	0.055318095	1.8037109
0.092548132	9.3118486	0.056415103	1.8535156
0.093889236	9.5434351	0.05840059	1.9033203
0.09739697	9.7839479	0.059284784	1.953125
0.10016859	10.011847	0.061367273	2.0029297
0.10156929	10.251036	0.06202272	2.0527344
0.10435581	10.501799	0.063940063	2.1025391
0.10588169	10.700254	0.065154694	2.1523438
0.10950863	10.956095	0.06698373	2.2021484
0.1104027	11.152927	0.068330564	2.2519531
0.11402965	11.456154	0.070139356	2.3017578
0.11681318	11.620601	0.071137525	2.3515625
0.11873543	11.87312	0.072879322	2.4013672
0.12107491	12.158515	0.074155882	2.4511719
0.12466013	12.362465	0.075556263	2.5009766
0.1257062	12.604095	0.076485097	2.5507813
0.12962222	12.86713	0.078215167	2.6005859
0.13158619	13.05842	0.079797536	2.6503906
0.13490915	13.263775	0.08120618	2.7001953
0.13535619	13.526657	0.082940832	2.75
0.13873279	13.757695	0.084833294	2.7998047
0.14141202	13.978526	0.085475802	2.8496094
0.14481843	14.222731	0.087612249	2.8994141
0.14666617	14.461795	0.088952407	2.9492188
0.14980137	14.684917	0.090290457	2.9990234
0.15305579	14.938187	0.091882169	3.0488281
0.15444756	15.161227	0.092876241	3.0986328
0.15862286	15.370062	0.094628766	3.1484375
0.15877187	15.56067	0.095452733	3.1982422
0.16281307	15.818805	0.096747428	3.2480469
0.16462207	16.05311	0.09849444	3.2978516
0.16706884	16.191645	0.09943147	3.3476563
0.17025769	16.463482	0.10144086	3.3974609
0.17210543	16.65501	0.10256515	3.4472656
0.17477274	16.880787	0.10384619	3.4970703
0.17778277	17.093754	0.10556454	3.546875
0.17897189	17.255371	0.10617621	3.5966797
0.18226206	17.497299	0.10758882	3.6464844
0.1840353	17.67631	0.10885063	3.6962891
0.18634796	17.866247	0.10995484	3.7460938
0.18947124	18.056623	0.11123746	3.7958984
0.19202232	18.300261	0.11238114	3.8457031
0.19340813	18.458286	0.11327805	3.8955078
0.19680858	18.635464	0.11443196	3.9453125
0.20005703	18.838226	0.11601405	3.9951172
0.20136833	18.981531	0.11688899	4.0449219
0.2055198	19.164373	0.11765303	4.0947266
0.20638704	19.334839	0.11899328	4.1445313
0.20884275	19.48666	0.12004814	4.1943359
0.21226704	19.651449	0.12138776	4.2441406
0.21420717	19.827763	0.12169743	4.2939453
0.2160579	19.988504	0.12316383	4.34375
0.218454	20.172508	0.12361076	4.3935547
0.22108257	20.292406	0.12456669	4.4433594
0.22476614	20.608557	0.12631042	4.4931641
0.22672117	20.690737	0.12763295	4.5429688
0.22919178	20.912466	0.12866485	4.5927734
0.2317667	21.080288	0.1295675	4.6425781
0.23403764	21.248413	0.13106875	4.6923828
0.23600757	21.374081	0.13190927	4.7421875
0.23947656	21.594973	0.13325226	4.7919922
0.24150312	21.722904	0.13372166	4.8417969
0.24400651	21.853838	0.13474269	4.8916016
0.24630725	22.032982	0.13613679	4.9414063
0.24826527	22.120024	0.1362256	4.9912109
0.25334358	22.32934	0.13780713	5.0410156
0.25301874	22.457458	0.13852967	5.0908203
0.25601685	22.645798	0.13950449	5.140625
0.25819838	22.812149	0.14015202	5.1904297
0.26144981	22.984224	0.1417177	5.2402344
0.26346445	23.157516	0.14271122	5.2900391
0.26563704	23.252108	0.1432388	5.3398438
0.26867986	23.440365	0.14439265	5.3896484
0.27174056	23.6022	0.14553429	5.4394531
0.27343333	23.73926	0.14676784	5.4892578
0.27630627	23.91255	0.1475331	5.5390625
0.2789706	24.085175	0.14811841	5.5888672
0.28071702	24.220465	0.1500127	5.6386719
0.28371811	24.345903	0.1505194	5.6884766
0.28599501	24.481585	0.15088968	5.7382813
0.28830171	24.604025	0.15148833	5.7880859
0.29119849	24.783503	0.15328699	5.8378906
0.29297769	24.900745	0.15411955	5.8876953
0.29701293	25.029295	0.15461463	5.9375
0.29836297	25.259542	0.15592062	5.9873047
0.300771	25.400942	0.15736486	6.0371094
0.30427277	25.558914	0.15749618	6.0869141
0.30627251	25.690308	0.15891272	6.1367188
0.30901432	25.831587	0.15950817	6.1865234
0.31179488	25.98077	0.16024782	6.2363281
0.3133148	26.133268	0.16209352	6.2861328
0.31642616	26.262823	0.16235375	6.3359375
0.31882823	26.37735	0.16289809	6.3857422
0.3208518	26.552458	0.16364822	6.4355469
0.32373965	26.698618	0.16547063	6.4853516
0.32556355	26.845577	0.16637707	6.5351563
0.32883883	27.009583	0.16731557	6.5849609
0.33132434	27.092094	0.16756129	6.6347656
0.33327937	27.204905	0.16842636	6.6845703
0.33614933	27.354174	0.16974729	6.734375
0.33778548	27.479763	0.1705974	6.7841797
0.34070015	27.649427	0.17151916	6.8339844
0.34430027	27.777206	0.1728604	6.8837891
0.34523904	27.937683	0.17264035	6.9335938
0.34855604	28.068872	0.17408441	6.9833984
0.35173595	28.212954	0.17532972	7.0332031
0.35340786	28.360744	0.17628081	7.0830078
0.355497	28.467766	0.17673516	7.1328125
0.35810769	28.660065	0.17825964	7.1826172
0.35909414	28.766953	0.17882626	7.2324219
0.36351681	28.909739	0.17959876	7.2822266
0.36635697	29.051138	0.18034934	7.3320313
0.36953688	29.227261	0.18181713	7.3818359
0.37115514	29.320887	0.18250811	7.4316406
0.3729254	29.40914	0.18268761	7.4814453
0.37506521	29.511728	0.1835281	7.53125
0.37828982	29.663046	0.18424822	7.5810547
0.38002431	29.829828	0.18576834	7.6308594
0.38411319	29.945297	0.18612027	7.6806641
0.38450956	30.080465	0.18756951	7.7304688
0.38850904	30.227335	0.18831791	7.7802734
0.39062798	30.41503	0.1894668	7.8300781
0.39363801	30.572205	0.19028562	7.8798828
0.39525628	30.643984	0.19076806	7.9296875
0.39809644	30.81531	0.19248295	7.9794922
0.40023625	30.979773	0.19327417	8.0292969
0.40283203	31.146896	0.19439606	8.0791016
0.40492415	31.223248	0.1945572	8.1289063
0.40860176	31.380468	0.19557665	8.1787109
0.41033328	31.49091	0.19636804	8.2285156
