MTS793|BTW|ENU|1|2|.|/|:|1|0|1|A

Data Header:						Time:	483.93555	s	9/20/2023 16:35:55
Data Acquisition:	Timed
Station Name:	319.25 w ext_strain.cfg
Test File Name:	Untitled test
Axial Displacement	Axial Force	Axial Strain	Time
mm	kN	%	s
0.0066131353	0.062142033	-0.0020137522	0.059570313
0.0089526176	0.36435166	-0.00087528024	0.109375
0.010690093	0.63850659	0.0013327459	0.15917969
0.014677644	0.90157521	0.0031216303	0.20898438
0.016093254	1.1859634	0.0050531817	0.25878906
0.019922853	1.4528716	0.0067412853	0.30859375
0.02219975	1.7201493	0.0079257879	0.35839844
0.026252866	2.0554502	0.010019448	0.40820313
0.026607513	2.181174	0.01077057	0.45800781
0.030982494	2.5372252	0.012666266	0.5078125
0.03362596	2.7226174	0.01416254	0.55761719
0.036239624	3.0407503	0.016277201	0.60742188
0.038638711	3.2416146	0.017163727	0.65722656
0.040301681	3.5063078	0.018732121	0.70703125
0.042292476	3.7739391	0.020964252	0.75683594
0.044885278	4.02037	0.021816371	0.80664063
0.047287345	4.242764	0.023315266	0.85644531
0.049936771	4.4462881	0.023977092	0.90625
0.052574277	4.675705	0.025608065	0.95605469
0.054043531	4.8906474	0.027179817	1.0058594
0.056010485	5.0508246	0.027944805	1.0556641
0.058743358	5.311976	0.029925572	1.1054688
0.061187148	5.5807347	0.031323805	1.1552734
0.064697862	5.8444309	0.032694712	1.2050781
0.065970421	6.0597806	0.034083232	1.2548828
0.068214536	6.29285	0.035753008	1.3046875
0.07109642	6.587503	0.037455846	1.3544922
0.075739622	6.8825746	0.038532518	1.4042969
0.078696012	7.1906748	0.040656641	1.4541016
0.079926848	7.4024687	0.042311706	1.5039063
0.082361698	7.6682143	0.043582536	1.5537109
0.087112188	7.9692912	0.045719564	1.6035156
0.087758899	8.1724958	0.046953995	1.6533203
0.090417266	8.3357182	0.047894537	1.703125
0.09405911	8.650383	0.050033204	1.7529297
0.094917417	8.8930168	0.051858816	1.8027344
0.098273158	9.1071978	0.052469563	1.8525391
0.10152459	9.3174295	0.053960044	1.9023438
0.10280907	9.5219717	0.055049732	1.9521484
0.106287	9.7913542	0.056264821	2.0019531
0.10764003	9.9995766	0.058009297	2.0517578
0.11035502	10.200171	0.059358649	2.1015625
0.11278689	10.402707	0.060173932	2.1513672
0.11470914	10.625955	0.061432581	2.2011719
0.11849105	10.887399	0.06327495	2.2509766
0.1203239	11.067633	0.064537168	2.3007813
0.12289286	11.354972	0.066191748	2.3505859
0.12426078	11.521764	0.067362316	2.4003906
0.12637079	11.71997	0.068297178	2.4501953
0.12979805	11.976544	0.070163421	2.5
0.13204217	12.185148	0.07153403	2.5498047
0.13470054	12.403948	0.072522171	2.5996094
0.13599694	12.609593	0.073430873	2.6494141
0.13977289	12.830463	0.075603135	2.6992188
