MTS793|BTW|ENU|1|2|.|/|:|1|0|1|A

Data Header:						Time:	305.9668	s	9/20/2023 17:00:06
Data Acquisition:	Timed
Station Name:	319.25 w ext_strain.cfg
Test File Name:	Untitled test
Axial Displacement	Axial Force	Axial Strain	Time
mm	kN	%	s
0.014013052	0.020451959	0.00026833182	0.059570313
0.017276406	0.30074805	0.0021444587	0.109375
0.019654632	0.55783987	0.0035900124	0.15917969
0.021904707	0.88472384	0.0049665212	0.20898438
0.024205446	1.1296189	0.0068153664	0.25878906
0.028720498	1.4337441	0.0086052101	0.30859375
0.029435754	1.6889369	0.010156527	0.35839844
0.032562017	1.9874351	0.01194525	0.40820313
0.033763051	2.2511468	0.013459383	0.45800781
0.037258863	2.5676785	0.015117396	0.5078125
0.040519238	2.837471	0.017474081	0.55761719
0.043421984	3.0720656	0.018349243	0.60742188
0.044944882	3.3827553	0.020587554	0.65722656
0.047597289	3.6478586	0.022013159	0.70703125
0.050094724	3.9037278	0.023828464	0.75683594
0.053927302	4.1587019	0.024757767	0.80664063
0.054067373	4.4113088	0.026675703	0.85644531
0.05774796	4.5741348	0.027802896	0.90625
0.058108568	4.7729769	0.028708328	0.95605469
0.060391426	4.9717751	0.030286785	1.0058594
0.063610077	5.2951927	0.032044955	1.0556641
0.065565109	5.5246429	0.03324138	1.1054688
0.068539381	5.8250356	0.034682915	1.1552734
0.070416927	6.0466938	0.036547501	1.2050781
0.072580576	6.3523054	0.03865543	1.2548828
0.075662136	6.6233206	0.040297516	1.3046875
0.079113245	6.9202943	0.041795578	1.3544922
0.08238256	7.2098579	0.043213475	1.4042969
0.08520782	7.5606213	0.046149336	1.4541016
0.086891651	7.8432226	0.047523085	1.5039063
0.089550018	8.1099243	0.048997603	1.5537109
0.094109774	8.3250599	0.050206825	1.6035156
0.094273686	8.5857916	0.051812053	1.6533203
0.098127127	8.8407726	0.053510848	1.703125
0.10044575	9.1129856	0.054978218	1.7529297
0.10279119	9.3415747	0.05659274	1.8027344
0.10453761	9.5584116	0.057044938	1.8525391
0.10894239	9.8253365	0.059607502	1.9023438
0.11049807	10.084349	0.060471684	1.9521484
0.11304319	10.352286	0.062215842	2.0019531
0.11572838	10.589787	0.064541325	2.0517578
0.11791289	10.815764	0.064899489	2.1015625
0.11993349	11.084616	0.067213893	2.1513672
0.12278855	11.342932	0.068218596	2.2011719
0.12460351	11.571284	0.069921084	2.2509766
0.12778342	11.836701	0.071656272	2.3007813
0.13017952	12.071812	0.07284186	2.3505859
0.13256371	12.277395	0.07411027	2.4003906
0.13536215	12.538458	0.075776175	2.4501953
0.13797879	12.797107	0.077495523	2.5
0.14013648	12.997519	0.078609027	2.5498047
0.14298558	13.274534	0.08091554	2.5996094
0.14443398	13.492137	0.081568524	2.6494141
0.14712811	13.726759	0.083196454	2.6992188
0.1498878	14.017878	0.084502049	2.7490234
0.15241504	14.231447	0.086250223	2.7988281
0.15604794	14.505146	0.087454543	2.8486328
0.15815198	14.741341	0.08925382	2.8984375
0.16025007	14.933105	0.090614073	2.9482422
0.16357005	15.166203	0.092271432	2.9980469
0.16628206	15.43187	0.093609169	3.0478516
0.16777515	15.63232	0.095019966	3.0976563
0.16924143	15.86473	0.096042372	3.1474609
0.17203987	16.143997	0.097400196	3.1972656
0.17684996	16.360209	0.098989449	3.2470703
0.17888248	16.560099	0.10057234	3.296875
0.17972887	16.7978	0.10227212	3.3466797
0.18281043	17.030741	0.10339552	3.3964844
0.18662214	17.228401	0.10470925	3.4462891
0.18845797	17.457745	0.10662093	3.4960938
0.19113719	17.656231	0.10685478	3.5458984
0.19382536	17.909864	0.10909692	3.5957031
0.19655228	18.151253	0.1101411	3.6455078
0.19770563	18.334032	0.11151256	3.6953125
0.20107925	18.568701	0.1130238	3.7451172
0.20198524	18.774807	0.11412945	3.7949219
0.20521283	18.951702	0.11512747	3.8447266
0.20777583	19.16931	0.11634524	3.8945313
0.21017194	19.376724	0.11807445	3.9443359
0.21313727	19.577499	0.11877789	3.9941406
0.21541417	19.750511	0.119712	4.0439453
0.21717846	19.988945	0.12120539	4.09375
0.22066534	20.223568	0.1227496	4.1435547
0.22285283	20.426657	0.12396476	4.1933594
0.22447109	20.596279	0.12599118	4.2431641
0.22860765	20.810261	0.12714364	4.2929688
0.22954643	21.00815	0.12838663	4.3427734
0.23384988	21.18655	0.12932113	4.3925781
0.23464262	21.381897	0.13022609	4.4423828
0.23767054	21.557882	0.13094093	4.4921875
0.23956895	21.695177	0.13232584	4.5419922
0.24371445	21.888531	0.13315709	4.5917969
0.24451315	22.041027	0.13484734	4.6416016
0.24782717	22.218483	0.13559367	4.6914063
0.25086403	22.4079	0.13713582	4.7412109
0.25304854	22.632044	0.13853587	4.7910156
0.2545774	22.793116	0.13983709	4.8408203
0.25727153	22.954002	0.1398893	4.890625
0.2599746	23.16675	0.14197299	4.9404297
0.2620995	23.340815	0.14304978	4.9902344
0.26402175	23.515512	0.14384271	5.0400391
0.26625097	23.667183	0.14521474	5.0898438
0.26945472	23.851873	0.14593369	5.1396484
0.27234554	24.056917	0.14774792	5.1894531
0.27483404	24.250616	0.14871575	5.2392578
0.27804375	24.43025	0.15042646	5.2890625
0.27967989	24.550915	0.15058698	5.3388672
0.28140843	24.731941	0.15202431	5.3886719
0.28417408	24.882246	0.15308419	5.4384766
0.28713942	25.030106	0.1540298	5.4882813
0.2899617	25.217264	0.15510106	5.5380859
0.29319823	25.39057	0.15643525	5.5878906
0.29395223	25.548288	0.15746607	5.6376953
0.29659569	25.690746	0.15844569	5.6875
0.2989471	25.862352	0.15908344	5.7373047
0.30344427	26.039972	0.16003904	5.7871094
0.30542314	26.243963	0.16185318	5.8369141
0.30683875	26.359344	0.1629352	5.8867188
