MTS793|BTW|ENU|1|2|.|/|:|1|0|1|A

Data Header:						Time:	345.9834	s	9/20/2023 17:18:03
Data Acquisition:	Timed
Station Name:	319.25 w ext_strain.cfg
Test File Name:	Untitled test
Axial Displacement	Axial Force	Axial Strain	Time
mm	kN	%	s
0.0014334917	0.015529338	-0.00080442987	0.060546875
0.0045478344	0.34115183	0.0012365868	0.11035156
0.0071227551	0.65808648	0.0038487138	0.16015625
0.0091642141	0.84627372	0.0048161019	0.20996094
0.012275577	1.1758341	0.0063957181	0.25976563
0.012952089	1.4531834	0.0086411834	0.30957031
0.015619397	1.692385	0.0096428907	0.359375
0.017333031	1.9964592	0.011627818	0.40917969
0.021710992	2.2312977	0.013203989	0.45898438
0.022831559	2.5178266	0.015256112	0.50878906
0.02566576	2.7738984	0.015687803	0.55859375
0.028648973	3.0224428	0.017709915	0.60839844
0.030684471	3.33722	0.019463327	0.65820313
0.034382939	3.5787981	0.021250382	0.70800781
0.03580451	3.8615816	0.023510877	0.7578125
0.038865209	3.999985	0.023419432	0.80761719
0.043189526	4.3208275	0.025471987	0.85742188
0.043684244	4.5135312	0.026385508	0.90722656
0.046220422	4.7160015	0.027629849	0.95703125
0.048476458	4.9764366	0.029501051	1.0068359
0.051093102	5.2442751	0.031160668	1.0566406
0.051981211	5.4574075	0.032124553	1.1064453
0.056064129	5.8193941	0.03437636	1.15625
0.057426095	6.0749917	0.036343116	1.2060547
0.060176849	6.298665	0.037604362	1.2558594
0.063112378	6.5965486	0.039142475	1.3056641
0.0664711	6.8551545	0.039943039	1.3554688
0.069704652	7.1804285	0.042522956	1.4052734
0.071853399	7.4764714	0.044291899	1.4550781
0.074240565	7.7262321	0.046385173	1.5048828
0.077369809	8.0118036	0.048061959	1.5546875
0.079870224	8.2319412	0.049246952	1.6044922
0.082078576	8.4651337	0.05062319	1.6542969
0.084209442	8.6640759	0.051995799	1.7041016
0.087416172	8.9317236	0.053424399	1.7539063
0.091019273	9.1661205	0.055001259	1.8037109
0.09123981	9.3702545	0.055823393	1.8535156
0.093570352	9.599369	0.057840325	1.9033203
0.096270442	9.8915606	0.059388556	1.953125
0.10024309	10.156551	0.060420215	2.0029297
0.10156333	10.391021	0.061768189	2.0527344
0.1032263	10.617496	0.06371294	2.1025391
0.10514557	10.828075	0.065392837	2.1523438
0.10892153	11.080295	0.066159092	2.2021484
0.11209548	11.338486	0.06876836	2.2519531
0.1149863	11.578627	0.069344185	2.3017578
0.11708736	11.747654	0.070197694	2.3515625
0.11959076	12.01749	0.071620636	2.4013672
0.12027025	12.215446	0.072693303	2.4511719
0.12301207	12.43421	0.07424558	2.5009766
0.12633801	12.661229	0.075740181	2.5507813
0.130409	12.950553	0.077696122	2.6005859
0.13214946	13.134122	0.078615688	2.6503906
0.13448596	13.362616	0.080077186	2.7001953
0.13732016	13.593429	0.081713296	2.75
0.13823211	13.818299	0.083454907	2.7998047
0.14092326	14.048078	0.084994838	2.8496094
0.14432967	14.272762	0.085990086	2.8994141
0.14548898	14.507022	0.08688017	2.9492188
0.15082359	14.816821	0.089278653	2.9990234
0.15217066	14.942845	0.089688145	3.0488281
0.15546381	15.255898	0.091989107	3.0986328
0.15801787	15.438527	0.093518503	3.1484375
0.15965402	15.618975	0.094449565	3.1982422
0.162673	15.905556	0.095639877	3.2480469
0.16443431	16.066048	0.097166747	3.2978516
0.16773939	16.28236	0.098191537	3.3476563
0.16958714	16.520874	0.10001009	3.3974609
0.17142296	16.649324	0.10054064	3.4472656
0.17492771	16.882544	0.10238583	3.4970703
0.17716587	17.071733	0.10286476	3.546875
0.18019676	17.290207	0.10463116	3.5966797
0.18180609	17.50292	0.10558907	3.6464844
0.18424392	17.653545	0.1066098	3.6962891
0.18735528	17.876953	0.10797881	3.7460938
0.18973649	18.031384	0.1091443	3.7958984
0.19183755	18.215281	0.10973591	3.8457031
0.1945585	18.404585	0.11135248	3.8955078
0.19655824	18.526978	0.11203645	3.9453125
0.19835532	18.674557	0.11249381	3.9951172
0.20274818	18.899628	0.1140365	4.0449219
0.20447671	19.049833	0.11487652	4.0947266
0.20689964	19.258492	0.11642577	4.1445313
0.20776093	19.401239	0.11662339	4.1943359
0.21194518	19.636734	0.11859422	4.2441406
0.21517575	19.790678	0.11920722	4.2939453
