MTS793|BTW|ENU|1|2|.|/|:|1|0|1|A

Data Header:						Time:	478.77832	s	9/20/2023 16:24:06
Data Acquisition:	Timed
Station Name:	319.25 w ext_strain.cfg
Test File Name:	Untitled test
Axial Displacement	Axial Force	Axial Strain	Time
mm	kN	%	s
0.0054091215	0.040463988	-0.00048367074	0.061523438
0.0080168247	0.38010207	0.0010443386	0.11132813
0.010606647	0.63703513	0.003014598	0.16113281
0.012746453	0.90047067	0.0050127506	0.2109375
0.015130639	1.2076223	0.006483146	0.26074219
0.018078089	1.4820434	0.007986242	0.31054688
0.018519163	1.7110097	0.009887252	0.36035156
0.023153424	2.0242493	0.011129072	0.41015625
0.025522709	2.2500288	0.013181317	0.45996094
0.027438998	2.5246673	0.013955473	0.50976563
0.030657649	2.8138461	0.016397372	0.55957031
0.033068657	3.0554087	0.017664686	0.609375
0.03542304	3.301419	0.020053353	0.65917969
0.037074089	3.5616498	0.020538993	0.70898438
0.040793419	3.8069642	0.022869458	0.75878906
0.042802095	4.0519032	0.024444599	0.80859375
0.045475364	4.2751942	0.025946938	0.85839844
0.047758222	4.4868474	0.026258593	0.90820313
0.05094111	4.7355995	0.028564293	0.95800781
0.051507354	4.9691515	0.029743882	1.0078125
0.054070354	5.1996398	0.03133373	1.0576172
0.057768822	5.407855	0.032307912	1.1074219
0.058224797	5.6195259	0.033360254	1.1572266
0.061184168	5.8796563	0.035253331	1.2070313
0.064188242	6.1387515	0.037446078	1.2568359
0.067359209	6.362556	0.038401846	1.3066406
0.068601966	6.6203933	0.040038332	1.3564453
0.07186234	6.922709	0.04207436	1.40625
0.075933337	7.2077627	0.043340445	1.4560547
0.079503655	7.4630179	0.045435049	1.5058594
0.081112981	7.7342792	0.047001384	1.5556641
0.082170963	7.9645686	0.048362844	1.6054688
0.087219477	8.2740765	0.050281592	1.6552734
0.089675188	8.5032196	0.051838242	1.7050781
0.091937184	8.7342415	0.053370751	1.7548828
0.093257427	8.9474897	0.054980833	1.8046875
0.095435977	9.1645555	0.055889808	1.8544922
0.098767877	9.4142494	0.057487603	1.9042969
0.10100305	9.6351595	0.059011079	1.9541016
0.1029253	9.8675232	0.060927432	2.0039063
0.10605752	10.086943	0.06201433	2.0537109
0.10837317	10.345785	0.063520797	2.1035156
0.11200011	10.597448	0.065205075	2.1533203
0.11296868	10.767652	0.066704154	2.203125
0.11528432	11.012859	0.068181343	2.2529297
0.11877716	11.236519	0.068276003	2.3027344
0.12129545	11.460887	0.070432894	2.3525391
0.12413561	11.670163	0.071052648	2.4023438
0.12488663	11.87399	0.07272511	2.4521484
0.12817085	12.086404	0.074440271	2.5019531
0.13145506	12.332231	0.075892374	2.5517578
0.13305247	12.559333	0.077850766	2.6015625
0.13523102	12.7521	0.078520231	2.6513672
0.13790727	12.957303	0.079802409	2.7011719
0.14081597	13.181365	0.080864154	2.7509766
0.14308989	13.396443	0.082438059	2.8007813
0.14560819	13.608201	0.083638526	2.8505859
0.14685094	13.822539	0.085465893	2.9003906
0.1514405	14.04213	0.086225279	2.9501953
0.15365779	14.21808	0.087935336	3
0.15607178	14.424908	0.08916422	3.0498047
0.15885234	14.635014	0.090659037	3.0996094
0.16110837	14.825846	0.091808647	3.1494141
0.16456544	15.075027	0.093104653	3.1992188
0.16692877	15.254449	0.094134845	3.2490234
0.16928315	15.479029	0.096167952	3.2988281
0.17137825	15.629381	0.096281327	3.3486328
0.17342567	15.824937	0.097972155	3.3984375
0.1768291	16.011765	0.099662982	3.4482422
0.17876029	16.235735	0.10095309	3.4980469
0.18090606	16.412554	0.10171216	3.5478516
0.18255115	16.593624	0.10324562	3.5976563
0.18642247	16.80884	0.10420503	3.6474609
0.18883944	17.001839	0.10574363	3.6972656
0.19237101	17.131321	0.10626863	3.7470703
0.19356012	17.31168	0.10786154	3.796875
0.19539893	17.473351	0.10827308	3.8466797
0.19879341	17.648085	0.1098081	3.8964844
0.20216405	17.815556	0.1109579	3.9462891
0.20358562	17.928621	0.11121012	3.9960938
0.2061218	18.074574	0.11265628	4.0458984
0.20942688	18.171764	0.11275651	4.0957031
0.21335483	18.355923	0.1141866	4.1455078
0.2128005	18.495972	0.1147146	4.1953125
0.21525323	18.679489	0.11617529	4.2451172
0.21806955	18.812565	0.11681516	4.2949219
0.2212733	18.962036	0.11755094	4.3447266
0.22224486	19.107786	0.11948781	4.3945313
0.22531748	19.246668	0.11949971	4.4443359
0.22765696	19.4198	0.1210914	4.4941406
0.23154318	19.544466	0.12222942	4.5439453
0.23253858	19.709219	0.12308057	4.59375
0.23551583	19.86203	0.12324842	4.6435547
0.2391696	19.991877	0.12466139	4.6933594
0.24168491	20.114004	0.12505451	4.7431641
0.24183095	20.255251	0.12637068	4.7929688
0.2453059	20.394464	0.12719305	4.8427734
0.24978518	20.513239	0.12805605	4.8925781
0.25210083	20.671902	0.1290361	4.9423828
0.25315583	20.755289	0.12946874	4.9921875
0.2555877	20.883713	0.13043539	5.0419922
0.25917888	21.01441	0.13108015	5.0917969
0.26075244	21.120901	0.13239983	5.1416016
0.26189983	21.280212	0.13294898	5.1914063
0.26493967	21.441061	0.13406275	5.2412109
0.2676338	21.56974	0.13495292	5.2910156
0.27153194	21.669741	0.13560227	5.3408203
0.27316809	21.773109	0.13631697	5.390625
0.27565062	21.882614	0.13701871	5.4404297
0.27739704	22.001717	0.13692293	5.4902344
0.28022826	22.113918	0.13820304	5.5400391
0.2838999	22.236906	0.13894378	5.5898438
0.28468966	22.361736	0.14038989	5.6396484
0.28827488	22.439377	0.14090848	5.6894531
0.2917558	22.618097	0.14193746	5.7392578
0.29431283	22.701382	0.1427145	5.7890625
0.29551089	22.817432	0.1437154	5.8388672
0.29752851	22.936523	0.14429106	5.8886719
0.29994547	23.087589	0.14490835	5.9384766
0.30296743	23.196924	0.14604357	5.9882813
0.30536056	23.30481	0.14609964	6.0380859
0.30805767	23.35815	0.14699449	6.0878906
0.31100214	23.460775	0.14773315	6.1376953
0.31244457	23.54952	0.14824487	6.1875
0.31475425	23.686024	0.14915377	6.2373047
0.31778514	23.789	0.1497284	6.2871094
0.32072365	23.882324	0.1507688	6.3369141
0.32202303	23.946394	0.15108648	6.3867188
0.32552779	24.147345	0.1524272	6.4365234
0.32770038	24.200068	0.15259178	6.4863281
0.32855272	24.304808	0.1536753	6.5361328
0.3331989	24.474581	0.15463991	6.5859375
0.33550858	24.556446	0.15516299	6.6357422
0.33680797	24.662752	0.15627451	6.6855469
0.33975244	24.772253	0.15684463	6.7353516
0.34300983	24.815886	0.15688297	6.7851563
0.34504235	24.885677	0.15780188	6.8349609
0.34720004	25.013037	0.15766717	6.8847656
0.35022497	25.10051	0.15812398	6.9345703
0.35270751	25.217133	0.15950096	6.984375
0.35406053	25.305912	0.15976863	7.0341797
0.35802126	25.460457	0.16104954	7.0839844
0.36018789	25.523211	0.16109231	7.1337891
0.36143064	25.594528	0.16212843	7.1835938
0.36575198	25.729219	0.16216718	7.2333984
0.36762655	25.84387	0.16360126	7.2832031
0.37057996	25.95672	0.16437021	7.3330078
0.37227273	26.032299	0.1653398	7.3828125
0.37375093	26.10392	0.16533336	7.4326172
0.37754476	26.179567	0.16614953	7.4824219
0.37949979	26.285654	0.16701742	7.5322266
0.3826052	26.373516	0.16754904	7.5820313
0.38557053	26.440845	0.16776288	7.6318359
0.38850904	26.561937	0.1686279	7.6816406
0.38943291	26.628365	0.16962589	7.7314453
0.39307177	26.704378	0.16928628	7.78125
0.39487779	26.785275	0.17013957	7.8310547
0.39696395	26.915705	0.17133571	7.8808594
0.40099323	27.072273	0.17258161	7.9306641
0.40243268	27.130583	0.17288403	7.9804688
0.40485561	27.250051	0.17385763	8.0302734
0.40689111	27.278915	0.17409222	8.0800781
0.41083992	27.363169	0.17432712	8.1298828
0.41257441	27.424877	0.17491342	8.1796875
0.41382909	27.566984	0.17598669	8.2294922
0.41683614	27.652647	0.17655641	8.2792969
0.42073131	27.695721	0.17654504	8.3291016
0.42296648	27.799318	0.1772916	8.3789063
0.42475164	27.851107	0.17850243	8.4287109
0.42688549	27.957058	0.17821535	8.4785156
0.42929351	28.084112	0.17942764	8.5283203
0.43281019	28.182316	0.17996438	8.578125
0.43499172	28.283014	0.18055704	8.6279297
0.43741167	28.381851	0.1812387	8.6777344
0.44053495	28.423349	0.18145706	8.7275391
0.44226348	28.507423	0.1819026	8.7773438
0.44397116	28.601772	0.18323238	8.8271484
0.44769645	28.698599	0.18342318	8.8769531
0.45059323	28.790052	0.18409888	8.9267578
0.45223832	28.852961	0.18440163	8.9765625
0.45505762	28.933079	0.18551311	9.0263672
0.4576236	29.045918	0.1856503	9.0761719
0.45980215	29.117731	0.18604651	9.1259766
0.46241283	29.180269	0.18716338	9.1757813
0.46613216	29.316694	0.18798153	9.2255859
0.46866536	29.407591	0.18847767	9.2753906
0.46982765	29.478844	0.18912134	9.3251953
0.47318041	29.505327	0.18910155	9.375
0.47518313	29.608513	0.18919107	9.4248047
0.47744215	29.640169	0.18958761	9.4746094
0.47957599	29.714363	0.1912839	9.5244141
0.48131645	29.797607	0.19114707	9.5742188
0.48449934	29.915428	0.19211113	9.6240234
0.48648119	30.005863	0.19247395	9.6738281
0.48980713	30.122398	0.19313675	9.7236328
0.49319565	30.155317	0.19327709	9.7734375
0.49438477	30.232885	0.19411762	9.8232422
0.4970789	30.355045	0.1950241	9.8730469
0.50005019	30.462677	0.19568023	9.9228516
0.50190687	30.533733	0.19568953	9.9726563
0.50435364	30.61231	0.19664213	10.022461
0.50706863	30.654928	0.19704157	10.072266
0.50810874	30.733521	0.19804034	10.12207
0.51294863	30.84012	0.1984812	10.171875
0.51369965	30.886227	0.19861303	10.22168
0.51741302	30.977915	0.19958256	10.271484
0.5194664	31.021042	0.19956309	10.321289
0.52237511	31.165871	0.20081541	10.371094
0.52275658	31.18679	0.20070237	10.420898
0.52631497	31.277912	0.20147447	10.470703
0.52988529	31.392874	0.20179096	10.520508
0.53247809	31.496746	0.20247151	10.570313
0.53446889	31.566589	0.20309182	10.620117
0.54073632	29.208879	0.18790264	10.669922
0.54129064	25.929768	0.16585192	10.719727
0.54160655	25.05596	0.15959319	10.769531
0.54475963	24.710594	0.15738516	10.819336
0.54761171	24.450348	0.15545325	10.869141
0.54937899	24.297079	0.15417808	10.918945
0.55212379	24.140453	0.1526102	10.96875
0.55620372	24.088308	0.15203337	11.018555
0.55676103	23.961655	0.15143745	11.068359
0.55947304	23.883129	0.15080997	11.118164
0.56180358	23.891193	0.15061484	11.167969
0.56489706	23.854647	0.14979157	11.217773
0.56687891	23.816324	0.15012385	11.267578
0.56966841	23.824146	0.14920266	11.317383
0.57216287	23.768667	0.14914927	11.367188
0.57486892	23.712023	0.14860152	11.416992
0.57673156	23.727369	0.14960501	11.466797
0.57867467	23.691278	0.14854093	11.516602
0.5830586	23.713238	0.14813654	11.566406
0.58473945	23.725637	0.14781363	11.616211
0.58712065	23.673725	0.14826262	11.666016
0.58805346	23.632969	0.14775455	11.71582
0.59249699	23.705055	0.1476398	11.765625
0.59315264	23.653999	0.1473235	11.81543
0.59722066	23.656311	0.14644253	11.865234
0.59946477	23.632618	0.14662664	11.915039
0.60151815	23.654112	0.14710958	11.964844
0.60341656	23.646889	0.14667156	12.014648
0.60661435	23.666367	0.14674576	12.064453
0.61073303	23.640137	0.14625983	12.114258
0.61123967	23.626917	0.14569995	12.164063
0.61365962	23.662739	0.14587112	12.213867
0.61709583	23.642902	0.14584184	12.263672
0.61867535	23.657122	0.14604546	12.313477
0.6226778	23.610783	0.14547457	12.363281
0.62326193	23.554249	0.14474669	12.413086
0.62612295	23.489119	0.14488903	12.462891
0.62971413	23.520233	0.14461498	12.512695
0.63213706	23.547865	0.14475523	12.5625
0.63455403	23.525627	0.14482866	12.612305
0.63661933	23.513498	0.144201	12.662109
0.63949823	23.514612	0.14477272	12.711914
0.64196885	23.527218	0.14395535	12.761719
0.64408779	23.529356	0.14357123	12.811523
0.64565837	23.563501	0.14392453	12.861328
0.64756572	23.591797	0.14426418	12.911133
0.65096021	23.566151	0.14474699	12.960938
0.65382123	23.595699	0.14456625	13.010742
0.65681636	23.601454	0.14408924	13.060547
0.65868199	23.63089	0.14345941	13.110352
0.6616205	23.641558	0.14402023	13.160156
0.6649375	23.64884	0.14452383	13.209961
0.66617727	23.614407	0.14296035	13.259766
0.66852272	23.626802	0.14343785	13.30957
0.6709069	23.632591	0.1432496	13.359375
0.67338943	23.663975	0.14363517	13.40918
0.6767869	23.674622	0.143748	13.458984
0.67886114	23.657225	0.14364576	13.508789
0.68165958	23.66424	0.14323847	13.558594
0.68272948	23.674879	0.14316671	13.608398
0.68588853	23.699614	0.14345361	13.658203
0.6903708	23.680775	0.14231445	13.708008
0.69002509	23.683044	0.1424149	13.757813
0.69288015	23.679205	0.14220311	13.807617
0.69491267	23.704	0.1421034	13.857422
0.69907904	23.708828	0.14245637	13.907227
0.69995522	23.703606	0.14242795	13.957031
0.70465505	23.716726	0.1421718	14.006836
0.70623755	23.756672	0.14232384	14.056641
0.70769787	23.744925	0.14210099	14.106445
0.71257353	23.775778	0.14193504	14.15625
0.7137835	23.764378	0.14186271	14.206055
0.71671605	23.75816	0.14184716	14.255859
0.71795583	23.752617	0.14184025	14.305664
0.72208345	23.736057	0.14128794	14.355469
0.7232219	23.76844	0.14062835	14.405273
0.72553158	23.731358	0.14069059	14.455078
0.72917938	23.74295	0.14081156	14.504883
0.73207319	23.722326	0.14035834	14.554688
0.73370337	23.724667	0.14021936	14.604492
0.73611438	23.771469	0.1402057	14.654297
0.738132	23.782389	0.14019804	14.704102
0.74085295	23.772036	0.13971986	14.753906
0.74295998	23.765345	0.13941386	14.803711
0.74644387	23.768044	0.14008245	14.853516
0.748384	23.802095	0.1399041	14.90332
0.75110793	23.819082	0.14022176	14.953125
0.75386763	23.801287	0.13972896	15.00293
0.75626075	23.810177	0.13948667	15.052734
0.75878501	23.806908	0.13870941	15.102539
0.76144338	23.842285	0.13998355	15.152344
0.76448321	23.834438	0.13968202	15.202148
0.76658726	23.823467	0.1391733	15.251953
0.76894462	23.854115	0.13922659	15.301758
0.77106953	23.832565	0.13933077	15.351563
0.77389479	23.869984	0.13904014	15.401367
0.77604055	23.828119	0.13857342	15.451172
0.77983141	23.847471	0.13917553	15.500977
0.78097582	23.806761	0.13853788	15.550781
0.7827282	23.885981	0.13958603	15.600586
0.78662038	23.880865	0.13857444	15.650391
0.78853667	23.88603	0.1385809	15.700195
0.79139471	23.840334	0.13931285	15.75
0.79346001	23.932816	0.13847616	15.799805
0.79595149	23.869778	0.13842942	15.849609
0.79829693	23.874645	0.1378722	15.899414
0.80056489	23.863503	0.13900791	15.949219
0.80378652	23.820618	0.13805676	15.999023
0.80488324	23.752775	0.13851669	16.048828
0.80804527	23.730814	0.13764775	16.098633
0.81014931	23.69161	0.13785273	16.148438
0.8143276	23.648333	0.13661677	16.198242
0.81558228	23.61433	0.13650872	16.248047
0.81729591	23.576178	0.13558051	16.297852
0.82117319	23.604317	0.13629526	16.347656
0.82374811	23.587175	0.13492195	16.397461
0.82558393	23.627844	0.13573019	16.447266
0.82801282	23.603506	0.13511534	16.49707
0.83094537	23.594687	0.13540021	16.546875
0.83408952	23.64551	0.13498491	16.59668
0.83582997	23.65534	0.13467121	16.646484
0.83840191	23.640831	0.1346401	16.696289
0.83879828	23.586834	0.13446081	16.746094
0.84373653	23.657768	0.13470972	16.795898
0.84716678	23.692291	0.13454853	16.845703
0.84857345	23.621428	0.1342959	16.895508
0.85163414	23.621655	0.134158	16.945313
0.85288882	23.623899	0.13464256	16.995117
0.85608065	23.621855	0.13407326	17.044922
0.85717738	23.586664	0.13435765	17.094727
0.86150169	23.606277	0.13429455	17.144531
0.8628875	23.617067	0.13400513	17.194336
0.86733401	23.58485	0.13386109	17.244141
0.8682698	23.583496	0.13363113	17.293945
0.87046027	23.577536	0.13392416	17.34375
0.87171197	23.519423	0.13239343	17.393555
0.87632835	23.519033	0.1322687	17.443359
0.87931454	23.475306	0.13240892	17.493164
0.88014007	23.4811	0.13174358	17.542969
0.88367164	23.436588	0.13128144	17.592773
0.88507831	23.428881	0.13124226	17.642578
0.88942051	23.414923	0.13140145	17.692383
0.89219213	23.389715	0.13143541	17.742188
0.89279115	23.336969	0.13138348	17.791992
0.89473128	23.297319	0.13138466	17.841797
0.89870691	23.27417	0.13169877	17.891602
0.90119541	23.242432	0.13103209	17.941406
0.90185702	23.208416	0.13113575	17.991211
0.90598464	23.214094	0.13095026	18.041016
0.90763867	23.181534	0.13118654	18.09082
0.90966821	23.17238	0.13092445	18.140625
0.91272891	23.177204	0.13068859	18.19043
0.91564655	23.197447	0.1313041	18.240234
0.91856122	23.124052	0.13090692	18.290039
0.92113018	23.144196	0.13065585	18.339844
0.92372596	23.156759	0.13115919	18.389648
0.92500448	23.119246	0.13058518	18.439453
0.92787147	23.119328	0.13023718	18.489258
0.93022585	23.14296	0.13004166	18.539063
0.93362927	23.140213	0.13109609	18.588867
0.93505681	23.136419	0.13063143	18.638672
0.93745887	23.163488	0.13110268	18.688477
0.94127059	23.145634	0.13067123	18.738281
0.94292164	23.149359	0.13056405	18.788086
0.94532073	23.143435	0.13080332	18.837891
0.94783604	23.144035	0.13108851	18.887695
0.94920397	23.192348	0.13139011	18.9375
0.95358193	23.184704	0.13104047	18.987305
0.95565915	23.192844	0.13087708	19.037109
0.95767081	23.215258	0.13129565	19.086914
0.96001029	23.201286	0.13160893	19.136719
0.96234381	23.230597	0.13125466	19.186523
0.9646982	23.231071	0.13186271	19.236328
0.96873343	23.275784	0.13239354	19.286133
0.97004175	23.260675	0.13248926	19.335938
0.97182393	23.285255	0.13239025	19.385742
0.97517371	23.290035	0.13302274	19.435547
0.97759068	23.271286	0.13237529	19.485352
0.9801507	23.331345	0.13266881	19.535156
0.98315179	23.349705	0.13322853	19.584961
0.9845674	23.349089	0.13281761	19.634766
0.98832548	23.373964	0.13389197	19.68457
0.99052489	23.364788	0.13407621	19.734375
0.99347532	23.394735	0.13365068	19.78418
0.99526644	23.393419	0.13393936	19.833984
0.99610686	23.396154	0.13335782	19.883789
0.99846125	23.431808	0.13405509	19.933594
1.0027528	23.465633	0.13420941	19.983398
1.0048151	23.475628	0.13504119	20.033203
1.0082811	23.486889	0.13526191	20.083008
1.0113001	23.494432	0.13497502	20.132813
1.0130107	23.482836	0.13403513	20.182617
1.0149419	23.385384	0.13406537	20.232422
1.0179788	23.420456	0.1345299	20.282227
1.0195881	23.464579	0.13497026	20.332031
1.0221481	23.437399	0.13481086	20.381836
1.0254562	23.504662	0.13504596	20.431641
1.0281503	23.528971	0.13587441	20.481445
1.0303855	23.548517	0.13601017	20.53125
